formacode,description,field,generic_term
98817,plan de formation,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98818,plan de professionnalisation personnalisé,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98819,POE,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98820,service militaire adapté,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98821,stage de préparation à l'installation,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98822,tutorat,,98554 DISPOSITIFS/MESURES EMPLOI-FORMATION
98054,financeurs,,90000 MOTS-OUTILS
98012,ACSÉ,,98054 FINANCEURS
98011,AGEFIPH,,98054 FINANCEURS
98019,Bénéficiaire action,,98054 FINANCEURS
98006,Collectivité territoriale-autre,,98054 FINANCEURS
98005,Collectivité territoriale-conseil régional,,98006 COLLECTIVITE TERRITORIALE-AUTRE
98009,Collectivité territoriale-conseil départemental,,98005 COLLECTIVITE TERRITORIALE-CONSEIL REGIONAL
98008,Collectivité territoriale-commune,,98009 COLLECTIVITE TERRITORIALE-CONSEIL DEPARTEMENTAL
98021,commission paritaire interprofessionnelle régionale,,98054 FINANCEURS
98020,Entreprise,,98054 FINANCEURS
98004,État,,98054 FINANCEURS
98040,État-ministère,,98004 ÉTAT
98016,État-ministère chargé de l'éducation nationale,,98040 ÉTAT-MINISTERE
98015,État-ministère chargé de l'emploi,,98040 ÉTAT-MINISTERE
98010,Financement européen,,98054 FINANCEURS
98037,Financement européen-FSE,,98010 FINANCEMENT EUROPEEN
98017,OPACIF,,98054 FINANCEURS
98018,OPCO,,98054 FINANCEURS
98013,Pôle emploi,,98054 FINANCEURS
94054,fonctions de l'organisme,,90000 MOTS-OUTILS
94000,accompagnement stagiaire,,94054 FONCTIONS DE L'ORGANISME
94018,accompagnement VAE,,94054 FONCTIONS DE L'ORGANISME
94001,accueil stagiaire étranger,,94054 FONCTIONS DE L'ORGANISME
94019,aide à la recherche d'emploi,,94054 FONCTIONS DE L'ORGANISME
94002,atelier de pédagogie personnalisée,,94054 FONCTIONS DE L'ORGANISME
94020,centre de ressources formation,,94054 FONCTIONS DE L'ORGANISME
94005,conception FOAD,,94054 FONCTIONS DE L'ORGANISME
94004,conception outil pédagogique,,94054 FONCTIONS DE L'ORGANISME
94006,conseil et service en formation,,94054 FONCTIONS DE L'ORGANISME
94007,étude et recherche,,94054 FONCTIONS DE L'ORGANISME
94017,fonction recrutement,,94054 FONCTIONS DE L'ORGANISME
94009,formation initiale,,94054 FONCTIONS DE L'ORGANISME
94010,FPC activité principale,,94054 FONCTIONS DE L'ORGANISME
94011,FPC activité secondaire,,94054 FONCTIONS DE L'ORGANISME
94012,gestion parcours de formation,,94054 FONCTIONS DE L'ORGANISME
94013,ingénierie de la formation,,94054 FONCTIONS DE L'ORGANISME
94014,mise en place de formation à l'étranger,,94054 FONCTIONS DE L'ORGANISME
94015,orientation information,,94054 FONCTIONS DE L'ORGANISME
94016,prestation de bilan de compétences,,94054 FONCTIONS DE L'ORGANISME
94022,prestation de positionnement,,94054 FONCTIONS DE L'ORGANISME
99999,information non communiquée,,90000 MOTS-OUTILS
93054,modalités d'accueil,,90000 MOTS-OUTILS
93020,accès handicapés,,93054 MODALITES D'ACCUEIL
93018,hébergement possible,,93054 MODALITES D'ACCUEIL
93017,restauration possible,,93054 MODALITES D'ACCUEIL
92054,modalités d'admission et de recrutement,,90000 MOTS-OUTILS
92005,admission après entretien,,92054 MODALITES D'ADMISSION ET DE RECRUTEMENT
92007,admission après test,,92054 MODALITES D'ADMISSION ET DE RECRUTEMENT
92009,admission après visite médicale,,92054 MODALITES D'ADMISSION ET DE RECRUTEMENT
92003,admission sur concours,,92054 MODALITES D'ADMISSION ET DE RECRUTEMENT
92002,admission sur dossier,,92054 MODALITES D'ADMISSION ET DE RECRUTEMENT
91554,modalités d'enseignement,,90000 MOTS-OUTILS
91501,formation en présentiel,,91554 MODALITES D'ENSEIGNEMENT
91502,formation entièrement à distance,,91554 MODALITES D'ENSEIGNEMENT
91503,formation mixte,,91554 MODALITES D'ENSEIGNEMENT
96054,modalités d'organisation,,90000 MOTS-OUTILS
96121,modalités pédagogiques,,96054 MODALITES D'ORGANISATION
96124,autoformation,,96121 MODALITES PEDAGOGIQUES
96125,autoformation avec tutorat,,96124 AUTOFORMATION
96126,autoformation sans tutorat,,96124 AUTOFORMATION
96127,chantier école,,96121 MODALITES PEDAGOGIQUES
96142,en alternance,,96121 MODALITES PEDAGOGIQUES
96129,FOAD,,96121 MODALITES PEDAGOGIQUES
96133,FOAD avec tutorat asynchrone,,96129 FOAD
96130,FOAD avec tutorat synchrone,,96129 FOAD
96131,FOAD sans tutorat,,96129 FOAD
96134,formation action,,96121 MODALITES PEDAGOGIQUES
96147,formation en situation de travail,,96121 MODALITES PEDAGOGIQUES
96135,MOOC,,96121 MODALITES PEDAGOGIQUES
96132,pédagogie adaptée aux handicapés,,96121 MODALITES PEDAGOGIQUES
96149,séjour à l'étranger,,96121 MODALITES PEDAGOGIQUES
96410,périodes de formation,,96054 MODALITES D'ORGANISATION
96414,cours de jour,,96410 PERIODES DE FORMATION
96411,cours du soir,,96410 PERIODES DE FORMATION
96412,cours le week-end,,96410 PERIODES DE FORMATION
96413,hors temps de travail,,96410 PERIODES DE FORMATION
96310,types de lieux,,96054 MODALITES D'ORGANISATION
96313,à domicile,,96310 TYPES DE LIEUX
96312,en entreprise,,96310 TYPES DE LIEUX
96311,en établissement de formation,,96310 TYPES DE LIEUX
96210,types de parcours,,96054 MODALITES D'ORGANISATION
96213,collectif,,96210 TYPES DE PARCOURS
96211,individualisé,,96210 TYPES DE PARCOURS
96214,mixte,,96210 TYPES DE PARCOURS
96212,modulaire,,96210 TYPES DE PARCOURS
96554,moyens pédagogiques,,90000 MOTS-OUTILS
96528,document pédagogique,,96554 MOYENS PEDAGOGIQUES
96533,étude de cas,,96554 MOYENS PEDAGOGIQUES
96535,jeux de rôle,,96554 MOYENS PEDAGOGIQUES
96537,multimédia hors réseaux,,96554 MOYENS PEDAGOGIQUES
96541,travaux pratiques,,96554 MOYENS PEDAGOGIQUES
97054,objectif général de formation,,90000 MOTS-OUTILS
97007,"(re)mobilisation, aide à l'élaboration de projet professionnel",,97054 OBJECTIF GENERAL DE FORMATION
97006,certification,,97054 OBJECTIF GENERAL DE FORMATION
97004,création d'entreprise,,97054 OBJECTIF GENERAL DE FORMATION
97003,"perfectionnement, élargissement des compétences",,97054 OBJECTIF GENERAL DE FORMATION
97001,préparation à la qualification,,97054 OBJECTIF GENERAL DE FORMATION
97002,professionnalisation,,97054 OBJECTIF GENERAL DE FORMATION
97005,"remise à niveau, maîtrise des savoirs de base, initiation",,97054 OBJECTIF GENERAL DE FORMATION
91054,rythmes,,90000 MOTS-OUTILS
91003,en continu,,91054 RYTHMES
91004,en discontinu,,91054 RYTHMES
91044,temps partiel,,91054 RYTHMES
91002,temps plein,,91054 RYTHMES
97554,types de validation,,90000 MOTS-OUTILS
97500,attestation de compétences,,97554 TYPES DE VALIDATION
97511,attestation de fin de formation,,97554 TYPES DE VALIDATION
97501,attestation de présence,,97554 TYPES DE VALIDATION
97502,certificat ou titre privé,,97554 TYPES DE VALIDATION
97515,certifications diplômes compétences,,97554 TYPES DE VALIDATION
97513,certification inscrite au répertoire spécifique,,97515 CERTIFICATIONS DIPLOMES COMPETENCES
97505,certification inscrite au RNCP,,97515 CERTIFICATIONS DIPLOMES COMPETENCES
97508,bloc de compétences,,97505 CERTIFICATION INSCRITE AU RNCP
97512,certification non inscrite au RNCP,,97515 CERTIFICATIONS DIPLOMES COMPETENCES
97507,habilitation,,97554 TYPES DE VALIDATION
97503,livret de stage,,97554 TYPES DE VALIDATION
97506,qualification de branche professionnelle,,97554 TYPES DE VALIDATION
97504,validation modulaire,,97554 TYPES DE VALIDATION
92554,types entrée/sortie,,90000 MOTS-OUTILS
92504,à la demande,,92554 TYPES ENTREE/SORTIE
92503,cadencé,,92554 TYPES ENTREE/SORTIE
92502,entrée/sortie à dates fixes,,92554 TYPES ENTREE/SORTIE
92501,entrée/sortie permanente,,92554 TYPES ENTREE/SORTIE
72454,application,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
72410,application réseau social,,72454 APPLICATION
72411,application réseau social Facebook,,72410 APPLICATION RESEAU SOCIAL
72420,application réseau social professionnel,,72410 APPLICATION RESEAU SOCIAL
72412,application réseau social Twitter,,72410 APPLICATION RESEAU SOCIAL
71954,framework,,70000 LOGICIELS/OUTILS/APPLICATIONS/SERVICES
71909,framework ADO.NET,,71954 FRAMEWORK
71905,framework AngularJS,,71954 FRAMEWORK
71906,framework Backbone.js,,71954 FRAMEWORK
